Year,Month,Day,Partner,Number of parcels
2022,9,16,BUZZR,299
2022,9,16,CHEETAH,1509
2022,9,16,DeutschePost,1
2022,9,16,EPO,220
2022,9,16,HFD,49
2022,9,16,INTELECT,43
2022,9,16,ITD,129
2022,9,16,ORIAN,114
2022,9,16,UPS-USA,224
2022,9,15,BUZZR,989
2022,9,15,CHEETAH,5213
2022,9,15,EPO,708
2022,9,15,HFD,299
2022,9,15,INTELECT,95
2022,9,15,ITD,2
2022,9,15,Israel,1
2022,9,15,ORIAN,927
2022,9,15,SENDIT,1
2022,9,15,UPS-USA,389
2022,9,14,BUZZR,960
2022,9,14,CHEETAH,6369
2022,9,14,EPO,1251
2022,9,14,HFD,313
2022,9,14,INTELECT,153
2022,9,14,ITD,15
2022,9,14,ORIAN,1720
2022,9,14,UPS-USA,292
2022,9,13,BUZZR,859
2022,9,13,CHEETAH,6006
2022,9,13,EPO,666
2022,9,13,HFD,285
2022,9,13,INTELECT,108
2022,9,13,ITD,54
2022,9,13,Israel,71
2022,9,13,ORIAN,984
2022,9,13,SENDIT,1
2022,9,13,UPS-USA,596
2022,9,12,BUZZR,1249
2022,9,12,CHEETAH,3848
2022,9,12,EPO,1103
2022,9,12,HFD,345
2022,9,12,INTELECT,245
2022,9,12,ITD,55
2022,9,12,Israel,2
2022,9,12,MondialRelay,1
2022,9,12,ORIAN,1815
2022,9,12,SENDIT,5
2022,9,12,UPS-USA,572
2022,9,11,BUZZR,1106
2022,9,11,CHEETAH,3792
2022,9,11,EPO,516
2022,9,11,HFD,209
2022,9,11,INTELECT,94
2022,9,11,ITD,9
2022,9,11,Israel,10
2022,9,11,MondialRelay,2
2022,9,11,ORIAN,434
2022,9,11,UPS-USA,17
2022,9,10,BUZZR,16
2022,9,10,CHEETAH,93
2022,9,10,EPO,17
2022,9,10,HFD,3
2022,9,10,INTELECT,4
2022,9,10,ITD,157
2022,9,10,Israel,2
2022,9,10,ORIAN,5
2022,9,10,SENDIT,1
2022,9,10,UPS-USA,487
2022,9,9,BUZZR,383
2022,9,9,CHEETAH,1084
2022,9,9,DeutschePost,1
2022,9,9,EPO,228
2022,9,9,HFD,25
2022,9,9,INTELECT,44
2022,9,9,ITD,85
2022,9,9,ORIAN,68
2022,9,9,SENDIT,7
2022,9,9,UPS-USA,214
2022,9,8,BUZZR,1256
2022,9,8,CHEETAH,4159
2022,9,8,DeutschePost,1
2022,9,8,EPO,818
2022,9,8,HFD,66
2022,9,8,INTELECT,514
2022,9,8,ITD,22
2022,9,8,Israel,25
2022,9,8,ORIAN,539
2022,9,8,UPS-USA,34
2022,9,7,BUZZR,1237
2022,9,7,CHEETAH,3522
2022,9,7,DeutschePost,1
2022,9,7,EPO,799
2022,9,7,HFD,97
2022,9,7,INTELECT,1099
2022,9,7,ITD,63
2022,9,7,Israel,4
2022,9,7,ORIAN,1160
2022,9,7,UPS-USA,30
2022,9,6,BUZZR,1563
2022,9,6,CHEETAH,3155
2022,9,6,DeutschePost,1
2022,9,6,EPO,1150
2022,9,6,HFD,19
2022,9,6,INTELECT,186
